Loan Maturity,Currency,Type of Loans,Sector,Year_Month,value,Year,Month
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M01,1474.1,2019,1
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Credit card credit,General government,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Credit card credit,Households,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Repo loans,Financial corporations,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Repo loans,General government,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Repo loans,Households,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M01,11479.3,2019,1
Over 5 years,Foreign currency in total,- Other loans,Financial corporations,2019M01,1978.7,2019,1
Over 5 years,Foreign currency in total,- Other loans,General government,2019M01,0.0,2019,1
Over 5 years,Foreign currency in total,- Other loans,Households,2019M01,2746.7,2019,1
Over 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M01,3.5,2019,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M02,109829.9,2019,2
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Financial corporations,2019M02,36865.9,2019,2
Up to and including 1 year,DKK,- Revolving loans and overdrafts,General government,2019M02,16119.7,2019,2
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Households,2019M02,30096.3,2019,2
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M02,1004.2,2019,2
Up to and including 1 year,DKK,- Credit card credit,Non-financial corporations,2019M02,1074.5,2019,2
Up to and including 1 year,DKK,- Credit card credit,Financial corporations,2019M02,430.1,2019,2
Up to and including 1 year,DKK,- Credit card credit,General government,2019M02,47.7,2019,2
Up to and including 1 year,DKK,- Credit card credit,Households,2019M02,6380.0,2019,2
Up to and including 1 year,DKK,- Credit card credit,Non-profit institutions serving households,2019M02,20.2,2019,2
Up to and including 1 year,DKK,- Repo loans,Non-financial corporations,2019M02,1544.8,2019,2
Up to and including 1 year,DKK,- Repo loans,Financial corporations,2019M02,158430.8,2019,2
Up to and including 1 year,DKK,- Repo loans,General government,2019M02,7669.5,2019,2
Up to and including 1 year,DKK,- Repo loans,Households,2019M02,0.0,2019,2
Up to and including 1 year,DKK,- Repo loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Up to and including 1 year,DKK,- Other loans,Non-financial corporations,2019M02,55284.9,2019,2
Up to and including 1 year,DKK,- Other loans,Financial corporations,2019M02,49239.9,2019,2
Up to and including 1 year,DKK,- Other loans,General government,2019M02,0.0,2019,2
Up to and including 1 year,DKK,- Other loans,Households,2019M02,18256.7,2019,2
Up to and including 1 year,DKK,- Other loans,Non-profit institutions serving households,2019M02,217.4,2019,2
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M02,13858.2,2019,2
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M02,3671.7,2019,2
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M02,505.4,2019,2
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Credit card credit,Financial corporations,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Credit card credit,General government,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Credit card credit,Households,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-financial corporations,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Repo loans,Financial corporations,2019M02,11388.7,2019,2
Up to and including 1 year,Foreign currency in total,- Repo loans,General government,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Repo loans,Households,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Other loans,Non-financial corporations,2019M02,26285.4,2019,2
Up to and including 1 year,Foreign currency in total,- Other loans,Financial corporations,2019M02,43923.0,2019,2
Up to and including 1 year,Foreign currency in total,- Other loans,General government,2019M02,0.0,2019,2
Up to and including 1 year,Foreign currency in total,- Other loans,Households,2019M02,1095.1,2019,2
Up to and including 1 year,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M02,9754.5,2019,2
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M02,3676.2,2019,2
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,General government,2019M02,63.3,2019,2
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Households,2019M02,4447.2,2019,2
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M02,165.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Non-financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Credit card credit,General government,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Repo loans,Non-financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Repo loans,Financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Repo loans,General government,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Repo loans,Households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Repo loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-financial corporations,2019M02,5385.4,2019,2
Over 1 year and up to and including 2 years,DKK,- Other loans,Financial corporations,2019M02,3256.0,2019,2
Over 1 year and up to and including 2 years,DKK,- Other loans,General government,2019M02,1.1,2019,2
Over 1 year and up to and including 2 years,DKK,- Other loans,Households,2019M02,5812.2,2019,2
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-profit institutions serving households,2019M02,45.4,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M02,114.1,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M02,14.4,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,General government,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Financial corporations,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,General government,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M02,706.1,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Financial corporations,2019M02,493.1,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,General government,2019M02,0.0,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Households,2019M02,510.8,2019,2
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M02,19417.8,2019,2
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M02,1816.8,2019,2
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,General government,2019M02,953.6,2019,2
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Households,2019M02,9863.9,2019,2
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M02,87.8,2019,2
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Credit card credit,General government,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Households,2019M02,3.1,2019,2
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Repo loans,Financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Repo loans,General government,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Repo loans,Households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-financial corporations,2019M02,20471.1,2019,2
Over 2 years and up to and including 5 years,DKK,- Other loans,Financial corporations,2019M02,30877.9,2019,2
Over 2 years and up to and including 5 years,DKK,- Other loans,General government,2019M02,97.2,2019,2
Over 2 years and up to and including 5 years,DKK,- Other loans,Households,2019M02,21908.4,2019,2
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-profit institutions serving households,2019M02,225.1,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M02,644.5,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M02,30.9,2019,2
